Artist and Title,Artist,Streams,Daily,year,main_genre,genres,first_genre,second_genre,third_genre
Rachel House - I Am Moana (Song of the Ancestors),Rachel House,131575933,42676,2016.0,Other,"['movie tunes', 'show tunes', 'waiata mo tamariki']",movie tunes,show tunes,waiata mo tamariki
Mac Miller - Stay,Mac Miller,131561585,30396,2016.0,Hip-Hop/Rap,"['hip hop', 'pittsburgh rap', 'rap']",hip hop,pittsburgh rap,rap
Grupo Maximo Grado - El Hombre Del Equipo,Grupo Maximo Grado,131445823,79479,2016.0,World/Traditional,"['corrido', 'musica mexicana', 'norteno', 'sierreno']",corrido,musica mexicana,norteno
Turma do Pagode - Deixa em Off,Turma do Pagode,131404842,78233,2016.0,Hip-Hop/Rap,"['funk carioca', 'pagode', 'pagode novo', 'sertanejo universitario']",funk carioca,pagode,pagode novo
James TW - When You Love Someone,James TW,131335414,15219,2016.0,Pop,"['british singer-songwriter', 'uk pop']",british singer-songwriter,uk pop,Unknown
Lil Uzi Vert - SideLine Watching (Hold Up),Lil Uzi Vert,131329395,17157,2016.0,Hip-Hop/Rap,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",hip hop,melodic rap,philly rap
Whethan - Savage,Whethan,131305824,14325,2016.0,Pop,"['electropop', 'hyperpop', 'rage rap']",electropop,hyperpop,rage rap
J. Cole - Ville Mentality,J. Cole,131200930,26101,2016.0,Hip-Hop/Rap,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",conscious hip hop,hip hop,north carolina hip hop
6LACK - Luving U,6LACK,130894486,10745,2016.0,Hip-Hop/Rap,"['atl hip hop', 'melodic rap', 'r&b', 'rap', 'trap']",atl hip hop,melodic rap,r&b
Granger Smith - Backroad Song,Granger Smith,130562612,15641,2016.0,World/Traditional,"['classic texas country', 'contemporary country', 'country road', 'modern country rock']",classic texas country,contemporary country,country road
Ozuna - En la Intimidad,Ozuna,130116010,38099,2016.0,Pop,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",puerto rican pop,reggaeton,trap latino
ZAYN - TiO,ZAYN,130027160,24373,2016.0,Pop,"['pop', 'uk pop']",pop,uk pop,Unknown
PNL - Naha,PNL,129410588,33018,2016.0,Electronic/Dance,"['indietronica', 'metropopolis', 'nu disco', 'shimmer pop']",indietronica,metropopolis,nu disco
